evangeline,https://github.com/CondeNast/evangeline/pull/2,x
consumer-revenue-apple-news-service,https://github.com/CondeNast/consumer-revenue-apple-news-service/pull/13,
CNWindows,https://github.com/CondeNast/CNWindows/pull/2,
cross-brand-services,https://github.com/CondeNast-Copilot/cross-org-services/pull/6,
autopilot-payment,https://github.com/CondeNast/autopilot-payment/pull/25,
CNEE Apple News connector,no repo,
wren,https://github.com/CondeNast/wren/pull/3,x
cdn-services,https://github.com/CondeNast/cdn-services/pull/29,x
seo-work-queue,https://github.com/CondeNast/seo-work-queue/pull/3,
fastly-deploy,https://github.com/CondeNast/fastly-deploy/pull/187,
escher,https://github.com/CondeNast-Copilot/escher/pull/187,
vulcan,https://github.com/CondeNast-Copilot/vulcan/pull/155,x
dave,https://github.com/CondeNast-Copilot/dave/pull/69,
j58,https://github.com/CondeNast-Copilot/j58/pull/54,
cn-cli,https://github.com/CondeNast/cn-cli/pull/96,
training-registration,https://github.com/CondeNast/training-registration/pull/2,
cn-lighthouse,https://github.com/CondeNast/cn-lighthouse/pull/25,
Miscellaneous Billing Data Upload,no repo,?
cn-enterprise-system-proxy,https://github.com/CondeNast/esps/pull/1,
Invoice Management Tool (Variometer),https://github.com/CondeNast/InvoiceMgt/pull/1,
COMAG Journals Transformation,https://github.com/CondeNast/COMAG/pull/1,
eReceivables / Customer Portal,no repo,?
user-platform-task-scheduler,https://github.com/CondeNast/user-platform-task-scheduler/pull/15,
prettierrc,https://github.com/CondeNast-Copilot/prettierrc/pull/20,
cnid-user-service-api,https://github.com/CondeNast/cnid-user-service-api/pull/41,
User Platform InfinityId,https://github.com/CondeNast/user-platform-infinityid/pull/30,
user-platform-utils,https://github.com/CondeNast/user-platform-utils/pull/33,
Multi-armed bandit,https://github.com/CondeNast/multi-armed-bandit/pull/10,
RBAC service,https://github.com/CondeNast-Copilot/rbac/pull/55,
Perf Timeline CLI,oss,?
feature-store-service,https://github.com/CondeNast/feature-store-service/pull/19,
Gabriel's Trumpet,https://github.com/CondeNast/u2-gabriels-trumpet/pull/23,
user-platform-js-sdk,https://github.com/CondeNast/user-platform-js-sdk/pull/55,
User Platform Email,https://github.com/CondeNast/user-platform-email/pull/57,
tny-graphql,https://github.com/CondeNast/tny-graphql/pull/109,
User Platform Gateway,https://github.com/CondeNast/user-platform-gateway/pull/253,
ember-docs,get a ref failed,?
sparrow-clickstream-forwarder,https://github.com/CondeNast/sparrow-clickstream-forwarder/pull/10,
Pigeon,https://github.com/CondeNast/pigeon/pull/4,
shipping-forecast,https://github.com/CondeNast/shipping-forecast/pull/76,x
longform-editor FYI,change name?,?
Copilot-app-service FYI,change name?,?
vogue-graphql,https://github.com/CondeNast/vogue-graphql/pull/62,
Hystrix-Turbine-Eureka,https://github.com/CondeNast/turbine/pull/1,
sparrow-capture-java,https://github.com/CondeNast/sparrow-capture-java/pull/16,
csp-service,https://github.com/CondeNast/csp-service/pull/1,
cnee-proxy,https://github.com/CondeNast/cnee-proxy/pull/31,
Consumer Revenue Paywall Testing,https://github.com/CondeNast/consumer-revenue-paywall-testing/pull/87,
storybook-gq,https://github.com/CondeNast/storybook-gq/pull/224,
